"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53549","[TC002 Verify Add Local Operator Functionality]","chromium","2026-02-12","passed","2026-02-12","Operators Page Tests","settings\operators\operator002.spec.ts","",""
"","320130","[TC007: Verify Copy Operator Option and Functionality]","chromium","2026-02-12","broken","2026-02-12","Operators Page Tests","settings\operators\operator007.spec.ts","",""
"","19138","[TC003] Validate Roles and Permissions for Add Local Operator","chromium","2026-02-12","passed","2026-02-12","Operators Page Tests - Edit Permission Button Visibility","settings\operators\operator003.spec.ts","",""
"","72023","[TC006: Verify Delete Operator Confirmation Popup and Dashboard Subscription Behavior]","chromium","2026-02-12","failed","2026-02-12","Operators Page Tests","settings\operators\operator006.spec.ts","",""
"","59839","[TC010: Verify Edit Local Operator – Role Change Rules]","chromium","2026-02-12","failed","2026-02-12","Operators Page Tests - Edit Operator Role","settings\operators\test.spec.ts","",""
"","88875","[TC008: Verify Copied Operator Has No Permissions]","chromium","2026-02-12","failed","2026-02-12","Operators Page Tests","settings\operators\operator008.spec.ts","",""
"","83598","[TC004: Verify Delete Operator Functionality]","chromium","2026-02-12","passed","2026-02-12","Operators Page Tests","settings\operators\operator004.spec.ts","",""
"","98512","TC005: Verify Current Logged-in Operator Cannot Be Deleted","chromium","2026-02-12","passed","2026-02-12","Operators Page Tests","settings\operators\operator005.spec.ts","",""
"","29431","[TC001 Verify Add Local Operator Mandatory Field Validation]","chromium","2026-02-12","passed","2026-02-12","Operators Page Tests","settings\operators\operator001.spec.ts","",""
"","213474","[TC009: Verify Edit Operator Functionality]","chromium","2026-02-12","passed","2026-02-12","Operators Page Tests - Edit Operator Functionality","settings\operators\operator009.spec.ts","",""
"","107044","[TC010: Verify Edit Local Operator – Role Change Rules]","chromium","2026-02-12","passed","2026-02-12","Operators Page Tests - Edit Operator Role","settings\operators\operator010.spec.ts","",""
