###globalBeforeEachFailed false
2026-02-12 16:23:01.964	INFO	utils/dataUtils.ts:8	DataUtils	Generated name 
###globalBeforeEachFailed false
2026-02-12 16:23:21.024	INFO	utils/browser-utils.ts:51	BrowserUtils	Clicking on element: getByRole('link', { name: 'Settings' })
2026-02-12 16:23:21.191	INFO	utils/browser-utils.ts:60	BrowserUtils	Clicked on element: getByRole('link', { name: 'Settings' })
2026-02-12 16:23:21.195	INFO	utils/browser-utils.ts:51	BrowserUtils	Clicking on element: getByText('Operators')
2026-02-12 16:23:22.304	INFO	utils/browser-utils.ts:60	BrowserUtils	Clicked on element: getByText('Operators')
2026-02-12 16:23:22.306	INFO	utils/browser-utils.ts:51	BrowserUtils	Clicking on element: locator('text=ADD OPERATOR')
2026-02-12 16:23:22.539	INFO	utils/browser-utils.ts:60	BrowserUtils	Clicked on element: locator('text=ADD OPERATOR')
2026-02-12 16:23:22.543	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('mat-form-field input[type="text"]').first() with text: "a-SvEk1"
2026-02-12 16:23:22.631	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('mat-form-field input[type="text"]').first() filled with text: "a-SvEk1"
2026-02-12 16:23:22.634	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('input[type="password"]').first() with text: "On!1Hartn0oqQT0VP_s"
2026-02-12 16:23:22.736	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('input[type="password"]').first() filled with text: "On!1Hartn0oqQT0VP_s"
2026-02-12 16:23:22.739	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('input[type="password"]').nth(1) with text: "On!1Hartn0oqQT0VP_s"
2026-02-12 16:23:22.836	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('input[type="password"]').nth(1) filled with text: "On!1Hartn0oqQT0VP_s"
2026-02-12 16:23:22.839	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('input[type="text"]').nth(1) with text: "-ustilo aedificium theologus"
2026-02-12 16:23:22.953	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('input[type="text"]').nth(1) filled with text: "-ustilo aedificium theologus"
2026-02-12 16:23:22.956	INFO	utils/browser-utils.ts:51	BrowserUtils	Clicking on element: locator('div.mat-mdc-select-value').nth(1)
2026-02-12 16:23:23.122	INFO	utils/browser-utils.ts:60	BrowserUtils	Clicked on element: locator('div.mat-mdc-select-value').nth(1)
2026-02-12 16:23:23.124	INFO	utils/browser-utils.ts:51	BrowserUtils	Clicking on element: locator('.mdc-list-item__primary-text').filter({ hasText: 'Administrator' })
2026-02-12 16:23:23.345	INFO	utils/browser-utils.ts:60	BrowserUtils	Clicked on element: locator('.mdc-list-item__primary-text').filter({ hasText: 'Administrator' })
2026-02-12 16:23:23.346	INFO	utils/browser-utils.ts:262	BrowserUtils	Unchecking checkbox: getByRole('checkbox', { name: 'Enable Two-Factor Authentication' })
